product_name,quantity_sold,brand_name,product_type,product_quantity,category,price,detail_product
(GIÁ SỐC SHIP HOẢ TỐC) Nước Ép Cam Tươi Nguyên Chất VFresh 1L Date mới,33.0,Vinamilk,khác,1l,nước giải khát,19980.0,Nước ép Vinamilk Cam
[Hộp 1 Lít] NƯỚC ÉP ĐÀO VFRESH [VN] VINAMILK Peach Nectar Juice (halal),40.0,Vinamilk,khác,1l,nước giải khát,50900.0,Nước ép Vinamilk Necta Đào
Thùng 12hộp trà atiso VFRESH ít đường 1 lít / Combo 3hộp trà atiso VFRESH ít đường 1L,24.0,Vinamilk,thùng,1l,nước giải khát,106896.0,Trà Atiso Vfresh
[Hộp 1 Lít] NƯỚC ỔI VFRESH [VN] VINAMILK Guava Nectar Fruit Juice (halal),20.0,Vinamilk,khác,1l,nước giải khát,57900.0,Nước ép Vinamilk Ổi Ruột Hồng
6hộp Nước Vfresh ổi éphộp giấy 1L,86.0,Vinamilk,hộp,1l,nước giải khát,436250.0,Nước ép Vinamilk Ổi Ruột Hồng
2hộp Nước Necta Ép Ổi Vinamilkhộp giấy 1L,89300.0,Vinamilk,hộp,1l,nước giải khát,69910.0,Nước ép Vinamilk Ổi Ruột Hồng
Nước ép Vfresh Lựuhộp 1L,169.0,Vinamilk,hộp,1l,nước giải khát,62400.0,Nước ép Vinamilk Lựu Táo
2hộp Nước Necta Cam Vinamilk -hộp giấy 1L,136.0,Vinamilk,hộp,1l,nước giải khát,69910.0,Nước ép Vinamilk Necta Cam
Nước ép Vfresh Atisohộp 1L,226.0,Vinamilk,hộp,1l,nước giải khát,23000.0,Trà Atiso Vfresh
(GIÁ SỐC SHIP HOẢ TỐC ) Nước Ép Táo Nguyên Chất Vfresh 1L Date từ 4/2025,1900.0,Vinamilk,khác,1l,nước giải khát,19890.0,Nước ép Vinamilk Táo
[Siêu thị WinMart] - Nước cam ép Vfresh nguyên chất 100%hộp 1 lít,65.0,Vinamilk,hộp,1l,nước giải khát,49100.0,Nước ép Vinamilk Cam
(GIÁ SỐC SHIP HOẢ TỐC) Nước Ép Cam Tươi Nguyên Chất VFresh 1L Date mới,232.0,Vinamilk,khác,1l,nước giải khát,19980.0,Nước ép Vinamilk Cam
6hộp Nước Vfresh ổi éphộp giấy 1L,98.0,Vinamilk,hộp,1l,nước giải khát,436250.0,Nước ép Vinamilk Ổi Ruột Hồng
NƯỚC ÉP TÁO VFRESH 1 LÍT,75.0,Vinamilk,khác,1l,nước giải khát,48000.0,Nước ép Vinamilk Táo
Nước ép Vfresh Lựuhộp 1L,269800.0,Vinamilk,hộp,1l,nước giải khát,62400.0,Nước ép Vinamilk Lựu Táo
2hộp Nước Necta Cam Vinamilk -hộp giấy 1L,1400.0,Vinamilk,hộp,1l,nước giải khát,69910.0,Nước ép Vinamilk Necta Cam
[Hộp 1 Lít] NƯỚC ÉP ĐÀO VFRESH [VN] VINAMILK Peach Nectar Juice (halal),33.0,Vinamilk,khác,1l,nước giải khát,50900.0,Nước ép Vinamilk Necta Đào
Ép Táo Vfresh 1L (12hộp),24.0,Vinamilk,khác,1l,nước giải khát,390000.0,Nước ép Vinamilk Táo
Thùng 12hộp trà atiso VFRESH ít đường 1 lít / Combo 3hộp trà atiso VFRESH ít đường 1L,20.0,Vinamilk,thùng,1l,nước giải khát,106896.0,Trà Atiso Vfresh
[Hộp 1 Lít] NƯỚC ỔI VFRESH [VN] VINAMILK Guava Nectar Fruit Juice (halal),34.0,Vinamilk,khác,1l,nước giải khát,57900.0,Nước ép Vinamilk Ổi Ruột Hồng
Thùng 12hộp Nước Vfresh táo ép 100%hộp giấy 1L,89300.0,Vinamilk,thùng,1l,nước giải khát,654500.0,Nước ép Vinamilk Táo
2hộp Nước Necta Ép Ổi Vinamilkhộp giấy 1L,263.0,Vinamilk,hộp,1l,nước giải khát,69910.0,Nước ép Vinamilk Ổi Ruột Hồng
Ép Táo Vfresh 1L (12hộp),115.0,Vinamilk,khác,1l,nước giải khát,390000.0,Nước ép Vinamilk Táo
Thùng 12hộp trà atiso VFRESH ít đường 1 lít / Combo 3hộp trà atiso VFRESH ít đường 1L,171.0,Vinamilk,thùng,1l,nước giải khát,106896.0,Trà Atiso Vfresh
[Hộp 1 Lít] NƯỚC ỔI VFRESH [VN] VINAMILK Guava Nectar Fruit Juice (halal),10000.0,Vinamilk,khác,1l,nước giải khát,57900.0,Nước ép Vinamilk Ổi Ruột Hồng
